image_path,captions
2513260012_03d33305cf.jpg,"['a', 'black', 'dog', 'is', 'running', 'after', 'a', 'white', 'dog', 'in', 'the', 'snow']"
2513260012_03d33305cf.jpg,"['black', 'dog', 'chasing', 'brown', 'dog', 'through', 'snow']"
2513260012_03d33305cf.jpg,"['two', 'dogs', 'chase', 'each', 'other', 'across', 'the', 'snowy', 'ground']"
2513260012_03d33305cf.jpg,"['two', 'dogs', 'play', 'together', 'in', 'the', 'snow']"
2513260012_03d33305cf.jpg,"['two', 'dogs', 'running', 'through', 'a', 'low', 'lying', 'body', 'of', 'water']"
2903617548_d3e38d7f88.jpg,"['a', 'little', 'baby', 'plays', 'croquet']"
2903617548_d3e38d7f88.jpg,"['a', 'little', 'girl', 'plays', 'croquet', 'next', 'to', 'a', 'truck']"
2903617548_d3e38d7f88.jpg,"['the', 'child', 'is', 'playing', 'croquette', 'by', 'the', 'truck']"
2903617548_d3e38d7f88.jpg,"['the', 'kid', 'is', 'in', 'front', 'of', 'a', 'car', 'with', 'a', 'put', 'and', 'a', 'ball']"
2903617548_d3e38d7f88.jpg,"['the', 'little', 'boy', 'is', 'playing', 'with', 'a', 'croquet', 'hammer', 'and', 'ball', 'beside', 'the', 'car']"
3338291921_fe7ae0c8f8.jpg,"['a', 'brown', 'dog', 'in', 'the', 'snow', 'has', 'something', 'hot', 'pink', 'in', 'its', 'mouth']"
3338291921_fe7ae0c8f8.jpg,"['a', 'brown', 'dog', 'in', 'the', 'snow', 'holding', 'a', 'pink', 'hat']"
3338291921_fe7ae0c8f8.jpg,"['a', 'brown', 'dog', 'is', 'holding', 'a', 'pink', 'shirt', 'in', 'the', 'snow']"
3338291921_fe7ae0c8f8.jpg,"['a', 'dog', 'is', 'carrying', 'something', 'pink', 'in', 'its', 'mouth', 'while', 'walking', 'through', 'the', 'snow']"
3338291921_fe7ae0c8f8.jpg,"['a', 'dog', 'with', 'something', 'pink', 'in', 'its', 'mouth', 'is', 'looking', 'forward']"
488416045_1c6d903fe0.jpg,"['a', 'brown', 'dog', 'is', 'running', 'along', 'a', 'beach']"
488416045_1c6d903fe0.jpg,"['a', 'brown', 'dog', 'wearing', 'a', 'black', 'collar', 'running', 'across', 'the', 'beach']"
488416045_1c6d903fe0.jpg,"['a', 'dog', 'walks', 'on', 'the', 'sand', 'near', 'the', 'water']"
488416045_1c6d903fe0.jpg,"['brown', 'dog', 'running', 'on', 'the', 'beach']"
488416045_1c6d903fe0.jpg,"['the', 'large', 'brown', 'dog', 'is', 'running', 'on', 'the', 'beach', 'by', 'the', 'ocean']"
2644326817_8f45080b87.jpg,"['a', 'black', 'and', 'white', 'dog', 'with', 'a', 'red', 'frisbee', 'standing', 'on', 'a', 'sandy', 'beach']"
2644326817_8f45080b87.jpg,"['a', 'dog', 'drops', 'a', 'red', 'disc', 'on', 'a', 'beach']"
2644326817_8f45080b87.jpg,"['a', 'dog', 'with', 'a', 'red', 'frisbee', 'flying', 'in', 'the', 'air']"
2644326817_8f45080b87.jpg,"['dog', 'catching', 'a', 'red', 'frisbee']"
2644326817_8f45080b87.jpg,"['the', 'black', 'dog', 'is', 'dropping', 'a', 'red', 'disc', 'on', 'a', 'beach']"
218342358_1755a9cce1.jpg,"['a', 'cyclist', 'wearing', 'a', 'red', 'helmet', 'is', 'riding', 'on', 'the', 'pavement']"
218342358_1755a9cce1.jpg,"['a', 'girl', 'is', 'riding', 'a', 'bike', 'on', 'the', 'street', 'while', 'wearing', 'a', 'red', 'helmet']"
218342358_1755a9cce1.jpg,"['a', 'person', 'on', 'a', 'bike', 'wearing', 'a', 'red', 'helmet', 'riding', 'down', 'a', 'street']"
218342358_1755a9cce1.jpg,"['a', 'woman', 'wears', 'a', 'red', 'helmet', 'and', 'blue', 'shirt', 'as', 'she', 'goes', 'for', 'a', 'bike', 'ride', 'in', 'the', 'shade']"
218342358_1755a9cce1.jpg,"['person', 'in', 'blue', 'shirt', 'and', 'red', 'helmet', 'riding', 'bike', 'down', 'the', 'road']"
2501968935_02f2cd8079.jpg,"['a', 'man', 'dressed', 'in', 'a', 'purple', 'shirt', 'and', 'red', 'bandanna', 'smiles', 'at', 'the', 'people', 'watching', 'him']"
2501968935_02f2cd8079.jpg,"['a', 'man', 'on', 'the', 'street', 'wearing', 'leather', 'chaps', 'and', 'a', 'chainmail', 'codpiece']"
2501968935_02f2cd8079.jpg,"['a', 'man', 'wearing', 'a', 'purple', 'shirt', 'and', 'black', 'leather', 'chaps', 'poses', 'for', 'the', 'camera']"
2501968935_02f2cd8079.jpg,"['man', 'dressed', 'in', 'leather', 'chaps', 'and', 'purple', 'shirt', 'stands', 'in', 'front', 'of', 'onlookers']"
2501968935_02f2cd8079.jpg,"['there', 'is', 'a', 'man', 'in', 'a', 'purple', 'shirt', 'leather', 'chaps', 'and', 'a', 'red', 'bandanna', 'standing', 'near', 'other', 'men']"
2699342860_5288e203ea.jpg,"['a', 'boy', 'wearing', 'a', 'red', 't', 'shirt', 'is', 'running', 'through', 'woodland']"
2699342860_5288e203ea.jpg,"['a', 'child', 'runs', 'near', 'some', 'trees']"
2699342860_5288e203ea.jpg,"['a', 'young', 'boy', 'is', 'dancing', 'around']"
2699342860_5288e203ea.jpg,"['a', 'young', 'boy', 'with', 'a', 'red', 'short', 'sleeved', 'shirt', 'and', 'jeans', 'runs', 'by', 'some', 'trees']"
2699342860_5288e203ea.jpg,"['the', 'little', 'boy', 'in', 'the', 'red', 'shirt', 'stops', 'to', 'smile', 'for', 'the', 'camera']"
2638369467_8fc251595b.jpg,"['a', 'girl', 'in', 'a', 'white', 'dress']"
2638369467_8fc251595b.jpg,"['a', 'little', 'girl', 'in', 'white', 'is', 'looking', 'back', 'at', 'the', 'camera', 'while', 'carrying', 'a', 'water', 'grenade']"
2638369467_8fc251595b.jpg,"['a', 'smiling', 'young', 'girl', 'in', 'braids', 'is', 'playing', 'ball']"
2638369467_8fc251595b.jpg,"['a', 'young', 'girl', 'wearing', 'white', 'looks', 'at', 'the', 'camera', 'as', 'she', 'plays']"
2638369467_8fc251595b.jpg,"['the', 'girl', 'is', 'holding', 'a', 'green', 'ball']"
2926786902_815a99a154.jpg,"['a', 'skier', 'in', 'a', 'yellow', 'jacket', 'is', 'airborne', 'above', 'the', 'mountains']"
2926786902_815a99a154.jpg,"['a', 'skier', 'jumps', 'high', 'in', 'the', 'air', 'with', 'a', 'view', 'of', 'the', 'mountains']"
2926786902_815a99a154.jpg,"['a', 'skiing', 'man', 'in', 'a', 'fluorescent', 'jacket', 'jumps', 'very', 'high', 'and', 'it', 'looks', 'as', 'though', 'he', 'is', 'flying']"
2926786902_815a99a154.jpg,"['somone', 'is', 'high', 'in', 'the', 'air', 'doing', 'a', 'ski', 'jump']"
2926786902_815a99a154.jpg,"['the', 'skier', 'in', 'the', 'green', 'jacket', 'and', 'white', 'pants', 'appears', 'to', 'almost', 'fly', 'into', 'the', 'sky']"
2851304910_b5721199bc.jpg,"['a', 'photographer', 'looks', 'over', 'the', 'hills']"
2851304910_b5721199bc.jpg,"['a', 'woman', 'in', 'a', 'red', 'jacket', 'is', 'videotaping', 'a', 'natural', 'landscape']"
2851304910_b5721199bc.jpg,"['a', 'woman', 'with', 'a', 'camera', 'looks', 'out', 'over', 'rolling', 'hills']"
2851304910_b5721199bc.jpg,"['a', 'woman', 'with', 'a', 'camera', 'on', 'a', 'tripod', 'is', 'looking', 'at', 'the', 'view']"
2851304910_b5721199bc.jpg,"['lady', 'in', 'red', 'shirt', 'has', 'her', 'camera', 'set', 'up', 'in', 'the', 'field', 'to', 'record', 'something']"
3423802527_94bd2b23b0.jpg,"['a', 'bunch', 'of', 'girls', 'in', 'cheerleader', 'outfits']"
3423802527_94bd2b23b0.jpg,"['a', 'large', 'group', 'of', 'cheerleaders', 'walking', 'in', 'a', 'parade']"
3423802527_94bd2b23b0.jpg,"['cheerleaders', 'perform']"
3423802527_94bd2b23b0.jpg,"['many', 'cheerleaders', 'wearing', 'black', 'walk', 'down', 'the', 'street']"
3423802527_94bd2b23b0.jpg,"['parade', 'of', 'cheerleaders', 'wearing', 'black', 'pink', 'and', 'white', 'uniforms']"
3356369156_074750c6cc.jpg,"['a', 'blue', 'boat', 'with', 'a', 'yellow', 'canopy', 'is', 'floating', 'on', 'calm', 'waters']"
3356369156_074750c6cc.jpg,"['a', 'boat', 'in', 'the', 'water']"
3356369156_074750c6cc.jpg,"['a', 'boat', 'with', 'a', 'roof', 'on', 'green', 'water']"
3356369156_074750c6cc.jpg,"['the', 'boat', 'is', 'in', 'the', 'middle', 'of', 'the', 'water']"
3356369156_074750c6cc.jpg,"['the', 'solitude', 'boat', 'floats', 'on', 'the', 'lake']"
2294598473_40637b5c04.jpg,"['a', 'dog', 'catches', 'a', 'frisbee', 'in', 'midair']"
2294598473_40637b5c04.jpg,"['a', 'dog', 'catching', 'a', 'frisbee']"
2294598473_40637b5c04.jpg,"['a', 'terrier', 'mix', 'catches', 'a', 'frisbee', 'in', 'the', 'air']"
2294598473_40637b5c04.jpg,"['a', 'white', 'and', 'black', 'dog', 'catching', 'a', 'frisbee']"
2294598473_40637b5c04.jpg,"['a', 'white', 'dog', 'is', 'leaping', 'in', 'the', 'air', 'with', 'a', 'green', 'object', 'in', 'its', 'mouth']"
1191338263_a4fa073154.jpg,"['a', 'little', 'old', 'lady', 'sitting', 'next', 'to', 'an', 'advertisement']"
1191338263_a4fa073154.jpg,"['an', 'asian', 'woman', 'waiting', 'at', 'an', 'underground', 'train', 'stop']"
1191338263_a4fa073154.jpg,"['an', 'old', 'woman', 'sits', 'in', 'a', 'transit', 'station', 'next', 'to', 'a', 'backlit', 'advertisement']"
1191338263_a4fa073154.jpg,"['a', 'woman', 'sits', 'in', 'a', 'subway', 'station']"
1191338263_a4fa073154.jpg,"['a', 'woman', 'with', 'an', 'umbrella', 'is', 'sitting', 'at', 'a', 'station', 'with', 'an', 'aquos', 'commercial', 'on', 'the', 'wall']"
